Test Set,Model,Angular Error (°),Landmark Distance (mm),Jerk (°)
User,meta_emg2pose,12.238294535014766,11.971217155456543,1.6244839746244875
User,lstm,8.873234500773318,11.551749229431152,5972.79519565197
User,small_emg2pose,29.31356340814519,32.206207275390625,0.01014565987643547
User,ridge,9.557431625406421,12.71617603302002,15958.902887369353
User,svr,6.430286289863559,8.01337718963623,11653.614994626609
User,pls,11.05827775683116,14.701681137084961,9827.201865356177
User,ridge,9.557431625406421,12.71617603302002,15958.902887369353
User,svr,6.430286289863559,8.01337718963623,11653.614994626609
User,pls,11.05827775683116,14.701681137084961,9827.201865356177
User,ridge,9.557431625406421,12.71617603302002,15958.902887369353
User,svr,6.430286289863559,8.01337718963623,11653.614994626609
User,pls,11.05827775683116,14.701681137084961,9827.201865356177
User,ridge,9.557431625406421,12.71617603302002,15958.902887369353
User,svr,6.430286289863559,8.01337718963623,11653.614994626609
User,pls,11.05827775683116,14.701681137084961,9827.201865356177
User,ridge,9.557431625406421,12.71617603302002,15958.902887369353
User,svr,6.430286289863559,8.01337718963623,11653.614994626609
User,pls,11.05827775683116,14.701681137084961,9827.201865356177
User,ridge,9.557431625406421,12.71617603302002,15958.902887369353
User,svr,6.430286289863559,8.01337718963623,11653.614994626609
User,pls,11.05827775683116,14.701681137084961,9827.201865356177
User,ridge,9.557431625406421,12.71617603302002,15958.902887369353
User,svr,6.430286289863559,8.01337718963623,11653.614994626609
User,pls,11.05827775683116,14.701681137084961,9827.201865356177
User,ridge,9.557431625406421,12.71617603302002,15958.902887369353
User,svr,6.430286289863559,8.01337718963623,11653.614994626609
User,pls,11.05827775683116,14.701681137084961,9827.201865356177
User,ridge,9.557431625406421,12.71617603302002,15958.902887369353
User,svr,6.430286289863559,8.01337718963623,11653.614994626609
User,pls,11.05827775683116,14.701681137084961,9827.201865356177
User,ridge,9.557431625406421,12.71617603302002,15958.902887369353
User,svr,6.430286289863559,8.01337718963623,11653.614994626609
User,pls,11.05827775683116,14.701681137084961,9827.201865356177
User,ridge,9.557431625406421,12.71617603302002,15958.902887369353
User,svr,6.430286289863559,8.01337718963623,11653.614994626609
User,pls,11.05827775683116,14.701681137084961,9827.201865356177
User,ridge,9.557431625406421,12.71617603302002,15958.902887369353
User,svr,6.430286289863559,8.01337718963623,11653.614994626609
User,pls,11.05827775683116,14.701681137084961,9827.201865356177
